fecha,fix,registrado_utc
08/07/2026,17.5993,2026-07-09T00:22:46
09/07/2026,17.535,2026-07-09T21:28:50
10/07/2026,17.4842,2026-07-10T21:42:07
13/07/2026,17.5023,2026-07-13T23:38:57
14/07/2026,17.4278,2026-07-14T23:38:13
15/07/2026,17.391,2026-07-16T00:11:45
16/07/2026,17.4418,2026-07-17T00:15:35
17/07/2026,17.5242,2026-07-17T23:38:13
20/07/2026,17.4315,2026-07-21T00:13:54
21/07/2026,17.3975,2026-07-22T00:06:28
22/07/2026,17.3973,2026-07-23T00:16:10
23/07/2026,17.513,2026-07-24T00:13:23
24/07/2026,17.4635,2026-07-25T06:05:52
27/07/2026,17.444,2026-07-28T00:13:26
28/07/2026,17.4312,2026-07-29T00:10:45
29/07/2026,17.5133,2026-07-30T00:14:06
30/07/2026,17.3562,2026-07-31T08:09:51
31/07/2026,17.3288,2026-08-01T00:13:36
03/08/2026,17.3317,2026-08-04T06:16:17
